@attribute Customer # real
@attribute Age real
@attribute Gender { M,F }
@attribute Maritial Status { M,S }
@attribute # Of Credit Cards real
@attribute Profitability { P,U }


@data
1,36,M,M,1,P
2,32,M,S,3,U
3,38,M,M,2,P
4,40,M,S,1,U
5,44,M,M,0,P
6,56,F,M,0,P
7,58,F,S,1,U
8,30,F,S,2,P
9,28,F,M,1,U
10,26,F,M,0,U
11,36,M,M,1,P
12,32,M,S,3,U
13,38,M,M,2,P
14,40,M,S,1,U
15,44,M,M,0,P
16,56,F,M,0,P
17,58,F,S,1,U
18,30,F,S,2,P
19,28,F,M,1,U
20,26,F,M,0,U
21,36,M,M,1,P
22,32,M,S,3,U
23,38,M,M,2,P
24,40,M,S,1,U
25,44,M,M,0,P
26,56,F,M,0,P
27,58,F,S,1,U
28,30,F,S,2,P
29,28,F,M,1,U
30,26,F,M,0,U
31,36,M,M,1,P
32,32,M,S,3,U
33,38,M,M,2,P
34,40,M,S,1,U
35,44,M,M,0,P
36,56,F,M,0,P
37,58,F,S,1,U
38,30,F,S,2,P
39,28,F,M,1,U
40,26,F,M,0,U
41,36,M,M,1,P
42,32,M,S,3,U
43,38,M,M,2,P
44,40,M,S,1,U
45,44,M,M,0,P
46,56,F,M,0,P
47,58,F,S,1,U
48,30,F,S,2,P
49,28,F,M,1,U
50,26,F,M,0,U
51,36,M,M,1,P
52,32,M,S,3,U
53,38,M,M,2,P
54,40,M,S,1,U
55,44,M,M,0,P
56,56,F,M,0,P
57,58,F,S,1,U
58,30,F,S,2,P
59,28,F,M,1,U
60,26,F,M,0,U
61,36,M,M,1,P
62,32,M,S,3,U
63,38,M,M,2,P
64,40,M,S,1,U
65,44,M,M,0,P
66,56,F,M,0,P
67,58,F,S,1,U
68,30,F,S,2,P
69,28,F,M,1,U
70,26,F,M,0,U
71,36,M,M,1,P
72,32,M,S,3,U
73,38,M,M,2,P
74,40,M,S,1,U
75,44,M,M,0,P
76,56,F,M,0,P
77,58,F,S,1,U
78,30,F,S,2,P
79,28,F,M,1,U
80,26,F,M,0,U
81,36,M,M,1,P
82,32,M,S,3,U
83,38,M,M,2,P
84,40,M,S,1,U
85,44,M,M,0,P
86,56,F,M,0,P
87,58,F,S,1,U
88,30,F,S,2,P
89,28,F,M,1,U
90,26,F,M,0,U
91,36,M,M,1,P
92,32,M,S,3,U
93,38,M,M,2,P
94,40,M,S,1,U
95,44,M,M,0,P
96,56,F,M,0,P
97,58,F,S,1,U
98,30,F,S,2,P
99,28,F,M,1,U
100,26,F,M,0,U
